Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1133808,West Seattle Halal Market,9405 16th Ave SW,,Seattle,WA,98106,2825,KING,Grocery Store,47.518879,-122.35517,,,-13620515.220324423,6027183.441334499
1135436,Choices Produce,1514 Pike Pl,Ste 4,Seattle,WA,98101,1574,KING,Specialty Store,47.608955,-122.34093,,,-13618930.030775527,6042043.70179152
1134956,Saars Super Saver Foods Auburn 622,1702 Auburn Way N,,Auburn,WA,98002,    ,KING,Super Store,47.323792,-122.22146,,Washington State Department of Health ,-13605630.691210454,5995086.245853288
898532,Rocket #1525 1525,17624 272nd St SE,,Kent,WA,98031,    ,KING,Convenience Store,47.358158,-122.10584,,,-13592759.931684935,6000731.78053131
898536,Rocket #5477 5477,15615 NE 8th St,,Bellevue,WA,98008,3901,KING,Convenience Store,47.616951,-122.13192,,,-13595663.144004824,6043364.075438457
897587,Y and F Corporation,9118 35th Ave NE,,Seattle,WA,98115,3617,KING,Convenience Store,47.695049,-122.29054,,,-13613320.641634453,6056270.972722907
1443991,Des Moines Farmers Market,22307 Dock Street,,Des Moines,WA,98198,    ,KING,Farmers and Markets,47.401398,-122.3292,,,-13617624.25314852,6007840.3334864285
1140009,Jacksons Food Stores 626,825 Front St N,,Issaquah,WA,98027,2508,KING,Convenience Store,47.539051,-122.03637,,,-13585026.566659529,6030509.091414934
1065719,Target Store T-2786,1401 2nd Ave,,Seattle,WA,98101,2007,KING,Super Store,47.60862,-122.33839,,,-13618647.279268913,6041988.387891917
1067788,Duvall Farmers Market,16201 Main St NE,,Duvall,WA,98019,8109,KING,Farmers and Markets,47.74477,-121.98573,,Washington State Department of Health ,-13579389.347645756,6064498.207304869
1235137,SHORELINE 270,2101 N 175th St,,Shoreline,WA,98133,3262,KING,Supermarket,47.755959,-122.33475,,,-13618242.076322423,6066350.711769811
1447367,Amazon Fresh - Bellevue,3901 Factoria Square Mall SE,,Bellevue,WA,98006,6148,KING,Super Store,47.575958,-122.17098,,,-13600011.283315208,6036597.065438726
1142760,Jacksons Food Stores 628,2936 228th Ave SE,,Sammamish,WA,98075,9516,KING,Convenience Store,47.583317,-122.0355,,,-13584929.718702538,6037811.478273373
1446429,Delridge Farmers Market,9421 18th Ave SW,,Seattle,WA,98106,2717,KING,Farmers and Markets,47.519005,-122.35815,,,-13620846.952406984,6027204.210313628
1080309,Ayyan Inc,710 S Grady Way,,Renton,WA,98055,3233,KING,Convenience Store,47.472687,-122.20942,,,-13604290.404541302,6019572.825663863
1578480,River Edge Market,4211 Preston Fall City Rd SE,,Fall City,WA,98024,5024,KING,Convenience Store,47.567165,-121.88821,,,-13568533.470903594,6035146.231730015
1148333,Pike Place Express At Denny Regrade,2250 7th Ave,,Seattle,WA,98121,1902,KING,Farmers and Markets,47.617237,-122.34053,,,-13618885.50297921,6043411.306149834
1068708,Micronesian Market,228 SW 153rd St,,Burien,WA,98166,2314,KING,Other,47.466248,-122.33807,,,-13618611.657031858,6018512.464381017
1235942,Safeway 3319,4300 NE 4th St,,Renton,WA,98059,5008,KING,Supermarket,47.488586,-122.16125,,Washington State Department of Health ,-13598928.14466979,6022191.596881468
872356,Walgreens 10995,3716 S 144th St,,Tukwila,WA,98168,4045,KING,Other,47.474483,-122.28609,,,-13612825.269900424,6019868.610424293
1019850,Cenex Convenience Store,32632 3rd Ave,,Black Diamond,WA,98010,9606,KING,Convenience Store,47.308487,-122.0033,,,-13581345.231098993,5992573.172289909
1116872,Tukwila Super Saver Foods,3725 S 144th St,,Tukwila,WA,98168,4044,KING,Super Store,47.47287,-122.28586,,Washington State Department of Health ,-13612799.66641754,6019602.96362625
1596429,Farestart's Mobile Community Market,700 Virginia St,,Seattle,WA,98101,1216,KING,Other,47.615364,-122.33741,,,-13618538.186167935,6043101.999226955
1116288,Seatac Chevron 94411,19923 International Blvd,,Seatac,WA,98188,5417,KING,Convenience Store,47.423157,-122.2971,,,-13614050.897494057,6011419.667946922
1665916,CVS Pharmacy 11648,2345 Rainier Ave S,,Seattle,WA,98144,5348,KING,Other,47.581688,-122.30122,,,-13614509.533796128,6037542.639196471
1084246,The Live Butcher,9432 16th Ave Sw,,Seattle,WA,98106,2824,KING,Specialty Store,47.51823,-122.35488,,,-13620482.937672094,6027076.465398737
1118134,Safeway 3006,1451 Highlands Dr NE,,Issaquah,WA,98029,    ,KING,Supermarket,47.541367,-122.01904,,Washington State Department of Health ,-13583097.39988408,6030890.999860463
1241674,Safeway 3213,15332 Aurora Ave N,,Shoreline,WA,98133,6125,KING,Supermarket,47.740841,-122.34527,,Washington State Department of Health ,-13619413.157365568,6063847.797700639
1087207,Fred Meyer 122,100 NW 85th St,,Seattle,WA,98117,    ,KING,Super Store,47.691917,-122.35906,,,-13620948.253143609,6055752.989678424
1242126,Dollar Tree 6400,9000 Rainier Ave S,,Seattle,WA,98118,5017,KING,Other,47.522617,-122.26995,,,-13611028.57331902,6027799.608925499
1154284,Walgreens 15203,26705 Maple Valley Black Diamond Rd SE,,Maple Valley,WA,98038,8390,KING,Other,47.362297,-122.02116,,,-13583333.397204561,6001411.970031175
1154795,PCC Community Market Greenlake Village 14,450 NE 71st St,,Seattle,WA,98115,5464,KING,Supermarket,47.679996,-122.32365,,,-13617006.42997462,6053781.730145496
1650077,D'licias Mexican Market Llc,22021 7th Ave S,Ste 3,Des Moines,WA,98198,6218,KING,Grocery Store,47.403801,-122.32654,,,-13617328.143303012,6008235.552031118
966827,Dollar Tree 4423,363 Strander Blvd,,Tukwila,WA,98188,2916,KING,Other,47.454823,-122.25573,,,-13609445.610159941,6016631.33852663
1245125,Safeway 3120,12725 1st Ave S,,Seattle,WA,98168,2683,KING,Supermarket,47.488659,-122.3339,,Washington State Department of Health ,-13618147.45475525,6022203.622754922
1119393,Mendoza's Mexican Mercado,7811 Aurora Ave N,,Seattle,WA,98103,4753,KING,Grocery Store,47.686008,-122.34456,,,-13619334.120527107,6054775.81965422
1300143,TT Mini Mart ,5603 Rainier Ave S,,Seattle,WA,98118,2442,KING,Convenience Store,47.551811,-122.27836,,,-13611964.77023659,6032613.4252873575
1091007,Jacksons Food Stores 616,11700 NE 160th St,,Bothell,WA,98011,4140,KING,Convenience Store,47.743809,-122.18394,,,-13601453.983915891,6064339.118109589
1521479,Papa Murphy's Pizza WA051,2154 SW 336th St,,Federal Way,WA,98023,2883,KING,Specialty Store,47.301441,-122.36286,,,-13621371.267208623,5991416.467134925
1521482,Papa Murphy's Pizza WA085,27031 Pacific Hwy S,,Des Moines,WA,98198,9250,KING,Specialty Store,47.359337,-122.31106,,,-13615604.91758553,6000925.528036691
1521484,Papa Murphy's Pizza WA123,365 Renton Center Way SW,Ste B,Renton,WA,98057,2324,KING,Specialty Store,47.47752,-122.21928,,,-13605388.014720526,6020368.79952674
1521493,7-eleven #16022g,5900 Phinney Ave N,,Seattle,WA,98103,5834,KING,Convenience Store,47.67202,-122.35393,,,-13620377.18415584,6052463.068285989
1576102,DOLLARTREE 9285,3902 A St SE,,Auburn,WA,98002,8610,KING,Other,47.273403,-122.2272,,,-13606269.665087607,5986815.1411482515
1121535,Asian Pacific Market,25644 104th Ave Se,,Kent,WA,98030,7610,KING,Super Store,47.37125,-122.20233,,,-13603501.14935158,6002883.458871225
